Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,330,5.5,16.21467298000961,16.21467307959829,0.0,0.1895927961120953,3.474260345074181e-10,3.408579558615812e-10,-6.568078645836895e-12,-22.51190944432013,3.474260345074181e-10,3.408579558615812e-10,-6.568078645836895e-12,-22.51190944432013,3.474260345074181e-10,3.408579558615812e-10,-6.568078645836895e-12,-22.51190944432013,1.0422781035222542e-09,1.0225738675847436e-09,-1.9704235937510686e-11,-67.53572833296037,0.0,0.0,11.388,True,-1.9704235937510573e-11,False
One-stage weighted objective,360,6.0,32.04062632992235,32.04062642951103,0.0,0.18959279611199625,3.4742592328622555e-10,3.4085784873170344e-10,-6.56807455452207e-12,-21.22250619679264,3.4742592328622555e-10,3.4085784873170344e-10,-6.56807455452207e-12,-21.22250619679264,3.4742592328622555e-10,3.4085784873170344e-10,-6.56807455452207e-12,-21.22250619679264,1.0422777698586766e-09,1.0225735461951104e-09,-1.9704223663566212e-11,-63.667518590377924,0.0,0.0,11.461,True,-1.970422366356621e-11,False
One-stage weighted objective,390,6.5,67.54117105030791,67.54117114989658,0.0,0.18959279611185223,3.4742180486451335e-10,3.408537734171446e-10,-6.568031447368752e-12,-10.391017551052212,3.4742180486451335e-10,3.408537734171446e-10,-6.568031447368752e-12,-10.391017551052212,3.4742180486451335e-10,3.408537734171446e-10,-6.568031447368752e-12,-10.391017551052212,1.0422654145935399e-09,1.0225613202514337e-09,-1.9704094342106258e-11,-31.173052653156635,0.0,0.0,12.3234,True,-1.970409434210623e-11,False
One-stage weighted objective,420,7.0,81.2359820112237,81.23593010062267,5.1910601017880256e-05,0.18959279611175317,2.6704060606675664,5.201025253074308e-05,-2.6703540504150354,-5.492574284529063,2.6704060606675664,5.201025253074308e-05,-2.6703540504150354,-5.492574284529063,2.6704060606675664,5.201025253074308e-05,-2.6703540504150354,-5.492574284529063,8.011218182002699,0.00015603075759222922,-8.011062151245108,-16.47772285358719,2.5955300508940128e-05,6.390099526427613e-07,13.8002,True,-8.011062151245106,False
One-stage weighted objective,450,7.5,139.78309169335256,139.78308553727467,6.156077899504453e-06,0.1931977576100277,22.20103332616307,6.255831013469634e-06,-22.201027070332056,-4.713565073468723,22.20103332616307,6.255831013469634e-06,-22.201027070332056,-4.713565073468723,22.20103332616307,6.255831013469634e-06,-22.201027070332056,-4.713565073468723,66.60309997848921,1.8767493040408903e-05,-66.60308121099617,-14.140695220406167,3.0780389497522264e-06,4.404021849086922e-08,17.562099999999997,True,-66.60308121099617,False
One-stage weighted objective,480,8.0,137.80699617541745,137.80698976181284,6.413604598492384e-06,0.22316914217396283,21.323270533509422,6.5133548056479536e-06,-21.323264020154618,-2.2851002749075393,21.323270533509422,6.5133548056479536e-06,-21.323264020154618,-2.2851002749075393,21.323270533509422,6.5133548056479536e-06,-21.323264020154618,-2.2851002749075393,63.96981160052827,1.954006441694386e-05,-63.96979206046385,-6.855300824722617,3.206802299246192e-06,4.654048616173573e-08,30.5205,True,-63.96979206046385,False
One-stage weighted objective,510,8.5,157.78637576376747,157.78637083416058,4.929606890073046e-06,0.25195554653857105,27.61479863140936,5.029376165930989e-06,-27.614793602033195,-0.3182627427720215,27.61479863140936,5.029376165930989e-06,-27.614793602033195,-0.3182627427720215,27.61479863140936,5.029376165930989e-06,-27.614793602033195,-0.3182627427720215,82.84439589422809,1.5088128497792966e-05,-82.84438080609958,-0.9547882283160646,2.464803445036523e-06,3.1242284805714085e-08,23.3315,True,-82.8443808060996,False
One-stage weighted objective,540,9.0,172.4434812296132,172.44347705788005,4.171733162365854e-06,0.28923551630868005,32.51412532451376,4.271514879623689e-06,-32.51412105299889,-0.5539047054321043,32.51412532451376,4.271514879623689e-06,-32.51412105299889,-0.5539047054321043,32.51412532451376,4.271514879623689e-06,-32.51412105299889,-0.5539047054321043,97.5423759735413,1.2814544638871066e-05,-97.54236315899665,-1.661714116296313,2.085866581182927e-06,2.419188671336945e-08,35.0474,True,-97.54236315899666,False
One-stage weighted objective,570,9.5,185.00628302110874,185.00627942183343,3.599275310989469e-06,0.3331295783776049,37.54564549968201,3.6990682534604092e-06,-37.54564180061375,-5.441920322281303,37.54564549968201,3.6990682534604092e-06,-37.54564180061375,-5.441920322281303,37.54564549968201,3.6990682534604092e-06,-37.54564180061375,-5.441920322281303,112.63693649904603,1.1097204760381228e-05,-112.63692540184127,-16.32576096684391,1.7996376554947346e-06,1.945488148950488e-08,39.471199999999996,True,-112.63692540184127,False
One-stage weighted objective,600,10.0,119.41607162306806,119.41606328590619,8.337161882082e-06,0.38381619363706176,16.4618230596209,8.436894116685125e-06,-16.461814622726784,-7.148131619528082,16.4618230596209,8.436894116685125e-06,-16.461814622726784,-7.148131619528082,16.4618230596209,8.436894116685125e-06,-16.461814622726784,-7.148131619528082,49.38546917886269,2.5310682350055375e-05,-49.385443868180346,-21.44439485858425,4.168580941041e-06,6.98160789311334e-08,39.494699999999995,True,-49.38544386818034,False
