Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
330,5.5,central,16214.672980009611,16214.67307959829,5.938714553588225e-08,0.0,16214.672980009611,16214.67307959829,5.938714553588225e-08,0.0
360,6.0,central,32040.626329922346,32040.62642951103,3.830454499574297e-07,0.0,32040.626329922346,32040.62642951103,3.830454499574297e-07,0.0
390,6.5,central,67541.17105030791,67541.17114989659,-1.294179987681901e-07,0.0,67541.17105030791,67541.17114989659,-1.294179987681901e-07,0.0
420,7.0,central,81235.98201122369,81235.93010062267,3.965878493264956e-09,0.051910601017880253,81235.98201122369,81235.93010062267,3.965878493264956e-09,0.051910601017880253
450,7.5,central,139783.09169335256,139783.08553727466,-1.61285716213089e-06,0.006156077899504453,139783.09169335256,139783.08553727466,-1.61285716213089e-06,0.006156077899504453
480,8.0,central,137806.99617541744,137806.98976181285,1.1264676293922968e-07,0.006413604598492384,137806.99617541744,137806.98976181285,1.1264676293922968e-07,0.006413604598492384
510,8.5,central,157786.37576376746,157786.37083416057,1.1132799900465568e-06,0.004929606890073046,157786.37576376746,157786.37083416057,1.1132799900465568e-06,0.004929606890073046
540,9.0,central,172443.48122961321,172443.47705788005,-6.402191209603026e-09,0.004171733162365854,172443.48122961321,172443.47705788005,-6.402191209603026e-09,0.004171733162365854
570,9.5,central,185006.28302110874,185006.27942183343,1.1115336710640758e-07,0.0035992753109894693,185006.28302110874,185006.27942183343,1.1115336710640758e-07,0.0035992753109894693
600,10.0,central,119416.07162306807,119416.06328590619,8.30669660729087e-08,0.008337161882082,119416.07162306807,119416.06328590619,8.30669660729087e-08,0.008337161882082
630,10.5,central,229745.74207171457,229745.7394786421,-3.855775620495303e-06,0.002593072480522096,229745.74207171457,229745.7394786421,-3.855775620495303e-06,0.002593072480522096
660,11.0,central,235990.30875364214,235990.30627504192,1.4447986995189072e-06,0.0024786002177279443,235990.30875364214,235990.30627504192,1.4447986995189072e-06,0.0024786002177279443
690,11.5,central,232588.44417352724,232588.44163397292,-5.259396448488267e-06,0.0025395543198101223,232588.44417352724,232588.44163397292,-5.259396448488267e-06,0.0025395543198101223
720,12.0,central,137662.54700039705,137662.5404311404,3.5145822129228725e-07,0.006569256656803191,137662.54700039705,137662.5404311404,3.5145822129228725e-07,0.006569256656803191
750,12.5,central,86507.1933071255,86507.15907237145,1.3812574973006756e-07,0.03423475405725185,86507.1933071255,86507.15907237145,1.3812574973006756e-07,0.03423475405725185
780,13.0,central,63436.07803724001,63436.07813682869,-7.763212173322105e-08,0.0,63436.07803724001,63436.07813682869,-7.763212173322105e-08,0.0
810,13.5,central,220843.12489531777,220843.12222093425,1.0961827205808273e-07,0.0026743835187517107,220843.12489531777,220843.12222093425,1.0961827205808273e-07,0.0026743835187517107
840,14.0,central,219014.5041579911,219014.50141437585,-1.899542387760932e-08,0.0027436152449809015,219014.5041579911,219014.50141437585,-1.899542387760932e-08,0.0027436152449809015
870,14.5,central,209104.784648659,209104.78177970706,1.1533481825726876e-07,0.0028689519385807216,209104.784648659,209104.78177970706,1.1533481825726876e-07,0.0028689519385807216
900,15.0,central,169589.67598894524,169589.67168529305,-4.576474632309426e-06,0.004303652181988582,169589.67598894524,169589.67168529305,-4.576474632309426e-06,0.004303652181988582
