Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
810,13.5,central,220843.12489531777,220843.12222097442,3.445408778502311e-07,-50062.07197073504,-50062.07197073504,-50062.07197073504,-150186.21591220514,23552.302102923095,23552.302102923095,23552.302102923095,70656.90630876928,0.6529904419156489
840,14.0,central,219014.5041579911,219014.5014144179,3.160073636877219e-07,-48843.25826332069,-48843.25826332069,-48843.25826332069,-146529.77478996207,24161.575541485276,24161.575541485276,24161.575541485276,72484.72662445583,0.7205742381976071
870,14.5,central,209104.784648659,209104.78177975235,3.022398224755227e-07,-46781.32391342764,-46781.32391342764,-46781.32391342764,-140343.9717402829,22920.270013156478,22920.270013156478,22920.270013156478,68760.81003946945,0.7865126359528881
900,15.0,central,169589.67598894524,169589.67168536532,4.667342425708473e-07,-31540.10129361809,-31540.10129361809,-31540.10129361809,-94620.30388085426,24989.78926817035,24989.78926817035,24989.78926817035,74969.36780451106,0.84966742229587
930,15.5,central,108386.17806758464,108386.1656160451,-1.3769334160911191e-06,-11065.494898547598,-11065.494898547598,-11065.494898547598,-33196.484695642794,25063.226973467434,25063.226973467434,25063.226973467434,75189.6809204023,0.8922465576478129
960,16.0,central,167971.81180257935,167971.80758956875,2.636013175482437e-07,-32202.41551604792,-32202.41551604792,-32202.41551604792,-96607.24654814377,23788.187013808332,23788.187013808332,23788.187013808332,71364.56104142498,0.9071849717862106
990,16.5,central,124580.44620067778,124580.4380650691,6.101237428630828e-08,-16864.47049022077,-16864.47049022077,-16864.47049022077,-50593.41147066231,24662.342198135597,24662.342198135597,24662.342198135597,73987.0265944068,0.9506582313671328
1020,17.0,central,58867.659044205095,38311.9211746433,2.091939658092131e-06,12072.876967899027,12072.876967899027,12072.876967899027,36218.63090369708,24843.517359446792,24843.517359446792,24843.517359446792,74530.55207834038,0.9734252639209997
1050,17.5,central,21386.15526279812,-8.424881675765998e-09,-1.0320447378606257e-06,21386.155362810525,21386.155362810525,21386.155362810525,64158.466088431574,21386.155362807716,21386.155362807716,21386.155362807716,64158.46608842315,0.9533037986648745
1080,18.0,central,35726.29562474032,2441.9547481742134,-4.789921621867463e-07,23273.796135830384,23273.796135830384,23273.796135830384,69821.38840749115,24087.781051888454,24087.781051888454,24087.781051888454,72263.34315566537,0.9176602063935259
1110,18.5,central,34880.48921037201,3666.4429587381437,6.864626492132146e-06,23510.790578861895,23510.790578861895,23510.790578861895,70532.37173658569,24732.93823177461,24732.93823177461,24732.93823177461,74198.81469532383,0.8788705442777583
1140,19.0,central,14676.355200650205,-8.424883719286955e-09,-1.7375079613896736e-07,14676.355300662415,14676.355300662415,14676.355300662415,44029.06590198725,14676.355300659607,14676.355300659607,14676.355300659607,44029.06590197882,0.8396858914422987
1170,19.5,central,6556.644238336597,-8.42487875115994e-09,-2.972735203183948e-07,6556.6443039152755,6556.6443039152755,6556.6443039152755,19669.932911745826,6556.644303912467,6556.644303912467,6556.644303912467,19669.9329117374,0.8152252992746374
1200,20.0,central,1478.7101336823926,-8.42486966448836e-09,-2.505747239598032e-07,1478.7101484817708,1478.7101484817708,1478.7101484817708,4436.130445445313,1478.7101484789625,1478.7101484789625,1478.7101484789625,4436.130445436888,0.8042975587681142
1230,20.5,central,513.8621598622417,-8.424866958698665e-09,-2.223488396603039e-07,513.8621650123159,513.8621650123159,513.8621650123159,1541.5864950369478,513.8621650095076,513.8621650095076,513.8621650095076,1541.586495028523,0.8018330418536078
1260,21.0,central,0.0,-1.3229757376073512e-15,5.936586038261517e-07,25064.68094550045,25064.68094550045,25064.68094550045,75194.04283650135,25064.68094550045,25064.68094550045,25064.68094550045,75194.04283650135,0.8009766049119226
1290,21.5,central,0.0,-1.3076245265543245e-15,1.6509462110458081e-07,24772.57587430692,24772.57587430692,24772.57587430692,74317.72762292076,24772.57587430692,24772.57587430692,24772.57587430692,74317.72762292076,0.7592021349148126
1320,22.0,central,0.0,-1.315967855301962e-15,4.335509797787296e-07,25080.245856254307,25080.245856254307,25080.245856254307,75240.73756876292,25080.245856254307,25080.245856254307,25080.245856254307,75240.73756876292,0.7179145066822278
1350,22.5,central,0.0,-1.321947382445867e-15,1.1112121189316216e-06,25001.00545947414,25001.00545947414,25001.00545947414,75003.01637842243,25001.00545947414,25001.00545947414,25001.00545947414,75003.01637842243,0.6761140951678818
1380,23.0,central,0.0,-1.3089350892397456e-15,-2.3169415301179081e-07,24712.68909042029,24712.68909042029,24712.68909042029,74138.06727126086,24712.68909042029,24712.68909042029,24712.68909042029,74138.06727126086,0.6344457509762399
1410,23.5,central,0.0,-1.311616329920425e-15,-1.3356322736542906e-06,24968.06727103039,24968.06727103039,24968.06727103039,74904.20181309117,24968.06727103039,24968.06727103039,24968.06727103039,74904.20181309117,0.5932579340458303
1440,24.0,central,0.0,-1.3137957209975568e-15,-1.4566139598569857e-06,24986.68504344934,24986.68504344934,24986.68504344934,74960.05513034802,24986.68504344934,24986.68504344934,24986.68504344934,74960.05513034802,0.5516444868326071
