Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,960,16.0,167.97181180257934,167.9718119018363,0.0,0.8888474415782036,28.48522303708201,4.565781243046818e-10,-28.485223036625435,2.4248008410168653,31.324844108551183,4.6034312929200755e-10,-31.32484410809084,-1.4375736347595323,30.862612662376012,4.5963691574030595e-10,-30.862612661916376,-1.036950348432912,90.6726798080092,1.3765581693369953e-09,-90.67267980663266,-0.04972314217557869,0.0,0.0,45.25,True,-90.67267980663264,False,False,True,4.6034312929200755e-10,0.0,False
One-stage weighted objective,990,16.5,124.58044620067777,124.58044629996468,0.0,0.929650147491043,11.283948193254213,4.249992525049371e-10,-11.283948192829213,0.7106660541045418,16.377440025835526,4.2787191437607513e-10,-16.377440025407655,0.011365423944202983,16.485610673803894,4.279347316272114e-10,-16.48561067337596,0.9091150061491505,44.146998892893635,1.2808058985082236e-09,-44.146998891612824,1.6311464841978955,0.0,0.0,41.6925,True,-44.14699889161283,False,False,True,4.279347316272114e-10,0.0,False
One-stage weighted objective,1020,17.0,58.8676590442051,51.160161515384864,7.707497528820233,0.9495162969921336,2.2258466221127104e-10,7.707497628636649,7.707497628414064,-4.030913096789526,2.2258239429591993e-10,7.707497628636652,7.707497628414069,-1.5994468204897425,2.2258297760254005e-10,7.707497628636654,7.70749762841407,-1.2364491949067264,6.67750034109731e-10,23.122492885909953,23.122492885242202,-6.866809112185995,3.8537487644101165,0.13092923438712747,60.6611,False,23.122492885242202,False,False,True,7.707497628636654,7.707497528820233,False
One-stage weighted objective,1050,17.5,21.38615526279812,1.8178683106283422,19.568286952169775,0.936670467611373,2.3138940637529228e-10,19.568287051986193,19.568287051754805,-11.640160398061518,2.3138876521038925e-10,19.568287051986193,19.568287051754805,-13.441082997327731,2.3138798011306707e-10,19.568287051986193,19.568287051754808,-14.124527869508018,6.941661516987486e-10,58.70486115595858,58.70486115526442,-39.205771264897265,9.784143476084887,0.9149978905375954,60.3799,False,58.70486115526442,False,False,True,19.568287051986193,19.568286952169775,False
One-stage weighted objective,1080,18.0,35.72629562474032,19.384307999764946,16.341987624975374,0.9040566558583751,2.2909180483540696e-10,16.341987724791785,16.341987724562692,-5.782366967545892,2.2908775142038012e-10,16.341987724791785,16.3419877245627,-10.038701841179632,2.2909011882972723e-10,16.341987724791792,16.341987724562703,-6.912687669877744,6.872696750855143e-10,49.02596317437536,49.02596317368809,-22.733756478603272,8.170993812487687,0.4574218328322462,50.6114,False,49.02596317368809,False,False,True,16.341987724791792,16.341987624975374,False
One-stage weighted objective,1110,18.5,34.88048921037201,15.572963184085959,19.307526026286055,0.8768200096506981,2.3120664512073339e-10,19.307526126102466,19.30752612587126,-2.1892735575665476,2.312058236421315e-10,19.307526126102466,19.307526125871263,-2.528460117304542,2.3120498934095004e-10,19.307526126102466,19.307526125871263,-4.145589758910225,6.936174581038149e-10,57.9225783783074,57.92257837761379,-8.863323433781314,9.653763013143028,0.5535336935740224,61.787,False,57.92257837761378,False,False,True,19.307526126102466,19.307526026286055,False
One-stage weighted objective,1140,19.0,14.676355200650205,0.23148878051102928,14.444866420139176,0.8446407994408395,2.277027135223012e-10,14.444866519955593,14.44486651972789,-19.414636673637016,2.2770287075299364e-10,14.444866519955593,14.44486651972789,-18.944278201514727,2.277029264377409e-10,14.444866519955593,14.44486651972789,-18.99399670064841,6.831085107130358e-10,43.33459955986678,43.33459955918367,-57.35291157580016,7.222433210069588,0.9842270933521169,49.4985,False,43.33459955918367,False,False,True,14.444866519955593,14.444866420139176,False
One-stage weighted objective,1170,19.5,6.556644238336596,0.035028334014377986,6.521615904322219,0.8205660219078875,2.216584736890117e-10,6.521615969705079,6.52161596948342,-22.701353618285037,2.2165824150197835e-10,6.521615969705079,6.52161596948342,-22.679584306533965,2.2165852195013859e-10,6.521615969705079,6.52161596948342,-21.519130969479438,6.649752371411287e-10,19.564847909115237,19.56484790845026,-66.90006889429844,3.2608079521611093,0.9946575820280796,40.435,False,19.56484790845026,False,False,True,6.521615969705079,6.521615904322219,False
One-stage weighted objective,1200,20.0,1.4787101336823925,0.03958270637670155,1.439127427305691,0.8096966619586782,2.1763885326869374e-10,1.43912744190921,1.439127441691571,-22.9366474294004,2.1763897463117122e-10,1.43912744190921,1.439127441691571,-21.91550129695584,2.1763898884778746e-10,1.43912744190921,1.439127441691571,-22.7467496556102,6.529168167476524e-10,4.31738232572763,4.317382325074712,-67.59889838196642,0.7195637136528455,0.9732315986243162,56.3995,False,4.317382325074713,False,False,True,1.43912744190921,1.439127427305691,False
One-stage weighted objective,1230,20.5,0.5138621598622417,0.030998993672402466,0.4828631661898392,0.8072981162224567,2.1687757226196267e-10,0.4828631711448783,0.48286317092800074,-22.43659878402378,2.1687776790728994e-10,0.4828631711448782,0.48286317092800046,-22.006643828932898,2.168776346585685e-10,0.48286317114487826,0.48286317092800063,-23.20783211305703,6.506329748278211e-10,1.4485895134346347,1.4485895127840018,-67.6510747260137,0.2414315830949196,0.9396744962098147,47.399,False,1.4485895127840018,False,False,True,0.4828631711448783,0.4828631661898392,False
One-stage weighted objective,1260,21.0,0.0,1.269027646317072e-14,0.0,0.8064933442708414,5.4724659858020075e-06,25.373864794260687,25.3738593217947,0.4342902988602931,5.5358753461465485e-06,25.08320661767241,25.083201081797064,0.4340871562967276,5.540918555234695e-06,25.06036991254671,25.060364371628154,0.45604960787755583,1.6549259887183253e-05,75.5174413244798,75.51742477521992,1.3244270630345765,0.0,,34.112,False,75.51742477521992,False,True,False,25.373864794260687,0.0,False
One-stage weighted objective,1290,21.5,0.0,1.2690338483158032e-14,0.0,0.764539217648853,5.461075645740278e-06,25.426745829903062,25.426740368827417,0.8785391912460514,5.605283936784873e-06,24.772723169385564,24.77271756410163,0.2609103739249345,5.521794767045188e-06,25.147236133708866,25.1472306119141,0.3286411801414231,1.6588154349570337e-05,75.3467051329975,75.34668854484315,1.4680907453124088,0.0,,45.046,False,75.34668854484315,False,True,False,25.426745829903062,0.0,False
One-stage weighted objective,1320,22.0,0.0,1.269041677196073e-14,0.0,0.7226799444840795,4.539521137925136e-06,30.588097927193633,30.588093387672497,0.6234670013056925,5.559557763080428e-06,24.976464385708184,24.97645882615042,0.13733667601885302,5.54933414805901e-06,25.022472794182846,25.022467244848695,0.7331822662624689,1.5648413049064573e-05,80.58703510708466,80.5870194586716,1.4939859435870144,0.0,,39.2842,False,80.5870194586716,False,True,False,30.588097927193633,0.0,False
One-stage weighted objective,1350,22.5,0.0,1.2690309564099999e-14,0.0,0.6779093764663743,5.4196268075799255e-06,25.621179260870598,25.62117384124379,0.6999017162397849,5.555324328310465e-06,24.995443268322287,24.99543771299796,0.43500785437284695,5.539502382698466e-06,25.066835359048746,25.066829819546363,0.457032592806772,1.651445351858886e-05,75.68345788824162,75.68344137378811,1.591942163419404,0.0,,34.0765,False,75.6834413737881,False,True,False,25.621179260870598,0.0,False
One-stage weighted objective,1380,23.0,0.0,1.2690353476251033e-14,0.0,0.6358630184044108,5.452627254249088e-06,25.466106362757273,25.46610091013002,0.2608072372444856,5.601457110379848e-06,24.789665796154598,24.789660194697486,1.023248083135452,5.52788774297408e-06,25.11952497628077,25.119519448393024,-1.2251350122666078,1.658197210760302e-05,75.37529713519264,75.37528055322053,0.058920308113329614,0.0,,34.936,False,75.37528055322053,False,True,False,25.466106362757273,0.0,False
One-stage weighted objective,1410,23.5,0.0,1.269029945650098e-14,0.0,0.5939878607911914,5.454651790459556e-06,25.456714220283224,25.456708765631436,0.024360304455885377,5.521391825945557e-06,25.14906118823334,25.149055666841512,0.12732495491682932,5.5514057437698395e-06,25.013104199832284,25.013098648426542,0.8898123640293568,1.652744936017495e-05,75.61887960834886,75.61886308089949,1.0414976234020714,0.0,,26.0865,False,75.6188630808995,False,True,False,25.456714220283224,0.0,False
One-stage weighted objective,1440,24.0,0.0,1.2690299105469121e-14,0.0,0.5519773795572388,5.4514206354134245e-06,25.471803110718938,25.471797659298304,0.43102087165042025,5.530190117963919e-06,25.10903928131738,25.10903375112726,0.4378975617709296,5.5591061119854615e-06,24.97843620915754,24.978430650051425,0.45093148885887224,1.6540716865362804e-05,75.55927860119385,75.559262060477,1.319849922280222,0.0,,27.1535,False,75.55926206047698,False,True,False,25.471803110718938,0.0,False
