Time_sample_min,Time_h,PV_available_kW,PV_seed_fraction,PV_seed_kW,BESS_seed_P_ch_kW,BESS_seed_P_dis_kW,BESS_seed_P_net_kW,BESS_seed_SOC_pu,Min_voltage_pu,Max_voltage_pu,Max_line_loading_pu_of_security_limit,Transformer_loading_pu_of_security_limit
450,7.5,139.78309169335256,0.4501109619140625,62.917901861416524,0.0,0.0,0.0,0.5,1.0725408006475212,1.0999746951390932,0.8442149306788589,0.06006554081718204
480,8.0,137.80699617541745,0.499256103515625,68.80098394773155,0.0,0.0,0.0,0.5,1.0679274208434104,1.09997410048664,0.9278663095801768,0.04900867425443362
510,8.5,157.78637576376747,0.4701104736328125,74.17702784310966,0.0,0.0,0.0,0.5,1.0751260191513872,1.099973109399218,0.9897418551974826,0.06594776854164826
540,9.0,172.4434812296132,0.4269407958984375,73.62315712366832,0.0,0.0,0.0,0.5,1.0736459291954719,1.0999710611518794,0.9827282838147096,0.04862742020767049
570,9.5,185.00628302110874,0.32724810791015624,60.5429560701487,0.0,0.0,0.0,0.5,1.0670747552980735,1.0999761487339788,0.8161066999339094,0.026992227501681117
600,10.0,119.41607162306806,0.4568790893554687,54.55870605755477,0.0,0.0,0.0,0.5,1.0583676558614192,1.0999782630538122,0.7450694074534406,0.017146102103671908
630,10.5,229.74574207171457,0.5000487670898438,114.88407506710212,40.0,0.0,-40.0,0.5,1.0738629112683804,1.0947045547367145,0.998326002949416,0.03601523888405662
660,11.0,235.99030875364213,0.48419549560546876,114.26544450505735,40.0,0.0,-40.0,0.518,1.0656846560800697,1.099181032331609,0.9983791775173612,0.026349386894363683
690,11.5,232.58844417352725,0.49273187255859374,114.60373963311203,40.0,0.0,-40.0,0.536,1.0748503647031,1.0982660604236798,0.9985037909613715,0.05426034770691527
720,12.0,137.66254700039707,0.5454744873046875,75.09140724609902,0.0,0.0,0.0,0.554,1.0751124082174592,1.0991899521184063,0.9989375875453756,0.0678394013435626
750,12.5,86.5071933071255,0.8141874389648438,70.43307017076519,0.0,0.0,0.0,0.554,1.0717610791364387,1.099974430849114,0.9445689808238636,0.059443331415013
780,13.0,63.43607803724001,1.0,63.43607803724001,0.0,0.0,0.0,0.554,1.0690527675747685,1.0954081607337924,0.8569498543787484,0.019926226190894382
810,13.5,220.84312489531777,0.43529425048828124,96.13174252679723,40.0,0.0,-40.0,0.554,1.0621432364315222,1.0999639913949362,0.7646987606780697,0.025291077591770947
840,14.0,219.0145041579911,0.275115234375,60.25422664295013,0.0,0.0,0.0,0.5720000000000001,1.0690685589010245,1.0999771398214007,0.8102160367098722,0.02404369004145911
870,14.5,209.104784648659,0.23103094482421874,48.30967596464448,0.0,0.0,0.0,0.5720000000000001,1.0629855946676707,1.0999813684610675,0.6517824115175189,0.01814179086981999
900,15.0,169.58967598894523,0.44151361083984375,74.87615020703836,0.0,0.0,0.0,0.5720000000000001,1.0746888835258197,1.0984664583003947,0.9989514591717961,0.04543047831489925
