Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
660,11.0,53789.07818634975,53863.61978903796,53516.62219097845,1.3377651287016862e-07,1.3384957824408308e-07,1.3355870789264917e-07,-53789.07818621597,-53863.619788904114,-53516.62219084489,-161169.32016596498,561.8408563378481,325.4414829354588,359.10084049290276,1246.3831797662097,0.4660969115544707
690,11.5,52386.1083540127,52626.11349217037,52431.455938724255,1.329294760902825e-07,1.3312281804581265e-07,1.329620554515748e-07,-52386.10835387977,-52626.11349203725,-52431.455938591294,-157443.67778450833,441.6985201607177,443.9399087021397,450.41561290369077,1336.0540417665482,0.5386231056291125
720,12.0,20727.646901250308,20827.574870291053,20815.221573252424,1.240978662764816e-07,1.240979859539717e-07,1.240796140786819e-07,-20727.64690112621,-20827.574870166954,-20815.221573128343,-62370.4433444215,446.8602691318801,444.5308660008105,448.2723306027405,1339.6634657354311,0.6094727606320992
750,12.5,3889.312599058893,3730.1310801139994,3695.679500873758,1.216664215249513e-07,1.2166228683679806e-07,1.2165472696323774e-07,-3889.3125989372265,-3730.131079992337,-3695.679500752103,-11315.123179681666,681.1639181216073,-1483.2596236860898,684.8475490426943,-117.24815652178825,0.6375394601370495
780,13.0,1.744629768772205e-07,1.7446296204214655e-07,1.7446265255883023e-07,1.3811988487223654e-07,1.381247276706841e-07,1.381219553920057e-07,-3.6343092004983955e-08,-3.6338234371462454e-08,-3.634069716682452e-08,-1.0902202354327093e-07,-11655.706346822035,-11932.958093189918,-12688.521149160959,-36277.185589172914,0.6426312655678679
810,13.5,48574.5325418413,48986.1806668814,48535.01160092956,1.3008537393740206e-07,1.3039399288603105e-07,1.3007671816830573e-07,-48574.53254171121,-48986.18066675101,-48535.01160079948,-146095.7248092617,2964.1871128191187,-1842.796133889309,-1875.2986416452793,-753.9076627154695,0.6426312655678732
840,14.0,44750.12966397459,48125.917764848506,47859.299626433814,1.2767075603979262e-07,1.296437951215426e-07,1.2944172092409994e-07,-44750.12966384692,-48125.91776471886,-47859.299626304375,-140735.34705487016,2105.8062470917985,-957.6082893266475,-439.6317160191541,708.5662417459969,0.7083743417319998
870,14.5,43957.00134554672,44787.868268092556,44691.08282859239,1.265706466167554e-07,1.2700303740044215e-07,1.2695150758342123e-07,-43957.00134542015,-44787.868267965554,-44691.08282846544,-133435.95244185114,3497.926521815681,-2435.254388081818,-2639.2231632427647,-1576.5510295089016,0.7717052479066505
900,15.0,31401.48164118143,31545.073745204347,31404.423939509063,1.235388422925396e-07,1.2353945423668804e-07,1.235455544442921e-07,-31401.481641057893,-31545.07374508081,-31404.423939385517,-94350.97932552421,420.49514474220825,444.9991944677259,448.0858448367337,1313.580184046668,0.8317514265054433
930,15.5,10567.62372787541,11059.632034569368,10995.503994110619,1.2301764103445674e-07,1.2301223396225499e-07,1.2300599286608701e-07,-10567.623727752392,-11059.632034446355,-10995.503993987613,-32622.75975618636,974.229973322241,439.2062301628463,453.73576723493636,1867.1719707200236,0.87420936720189
960,16.0,28485.221282206363,31324.84533466897,30862.613190218213,1.2381132897945214e-07,1.236192668675525e-07,1.2363409799613985e-07,-28485.22128208255,-31324.845334545353,-30862.61319009458,-90672.67980672249,2424.7791951541735,-1437.585588684859,-1036.9631450771442,-49.769538607829645,0.8888896090921349
