Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,330,5.5,16.21467298000961,16.21467308000359,0.0,0.1895927961124749,6.819876163056573e-13,3.6961032173659245e-12,3.014115601060267e-12,-22.627266606226836,6.819876163056573e-13,3.6961032173659245e-12,3.014115601060267e-12,-22.627266606226836,6.819876163056573e-13,3.6961032173659245e-12,3.014115601060267e-12,-22.627266606226836,2.045962848916972e-12,1.1088309652097773e-11,9.042346803180801e-12,-67.8817998186805,0.0,0.0,11.388,True,9.0423468031808e-12,False,False,True,3.6961032173659245e-12,0.0,False
One-stage weighted objective,360,6.0,32.04062632992235,32.04062642991632,0.0,0.18959279611246965,6.819551964502616e-13,3.696071326005724e-12,3.0141161295554632e-12,-21.205657564177894,6.819551964502616e-13,3.696071326005724e-12,3.0141161295554632e-12,-21.205657564177894,6.819551964502616e-13,3.696071326005724e-12,3.0141161295554632e-12,-21.205657564177894,2.045865589350785e-12,1.1088213978017175e-11,9.042348388666388e-12,-63.616972692533686,0.0,0.0,11.461,True,9.04234838866639e-12,False,False,True,3.696071326005724e-12,0.0,False
One-stage weighted objective,390,6.5,67.54117105030791,67.54117115030189,0.0,0.1895927961124644,6.804864945020627e-13,3.6946045072913945e-12,3.0141180127893316e-12,-10.424435854283484,6.804864945020627e-13,3.6946045072913945e-12,3.0141180127893316e-12,-10.424435854283484,6.804864945020627e-13,3.6946045072913945e-12,3.0141180127893316e-12,-10.424435854283484,2.041459483506188e-12,1.1083813521874182e-11,9.042354038367994e-12,-31.27330756285045,0.0,0.0,12.3234,True,9.042354038367994e-12,False,False,True,3.6946045072913945e-12,0.0,False
One-stage weighted objective,420,7.0,81.2359820112237,81.23593010081699,5.191040670615621e-05,0.1895927961124592,2.6704060611067564,5.20103953473426e-05,-2.670354050711409,-5.492574285450829,2.6704060611067564,5.20103953473426e-05,-2.670354050711409,-5.492574285450829,2.6704060611067564,5.20103953473426e-05,-2.670354050711409,-5.492574285450829,8.011218183320269,0.0001560311860420278,-8.011062152134228,-16.47772285635249,2.5955203353078105e-05,6.390075607011703e-07,13.8002,True,-8.011062152134226,False,False,True,5.20103953473426e-05,5.191040670615621e-05,False
One-stage weighted objective,450,7.5,139.78309169335256,139.78308553738313,6.155969429528341e-06,0.19319775761096095,22.201033326163376,6.2559600385892105e-06,-22.201027070203338,-4.7135650737342605,22.201033326163376,6.2559600385892105e-06,-22.201027070203338,-4.7135650737342605,22.201033326163376,6.2559600385892105e-06,-22.201027070203338,-4.7135650737342605,66.60309997849012,1.876788011576763e-05,-66.60308121061001,-14.140695221202781,3.0779847147641705e-06,4.403944250305268e-08,17.562099999999997,True,-66.60308121061,False,False,True,6.2559600385892105e-06,6.155969429528341e-06,False
One-stage weighted objective,480,8.0,137.80699617541745,137.806989761924,6.4134934509638695e-06,0.22316914217468145,21.323270533023535,6.513484010750459e-06,-21.323264019539526,-2.2851002692012012,21.323270533023535,6.513484010750459e-06,-21.323264019539526,-2.2851002692012012,21.323270533023535,6.513484010750459e-06,-21.323264019539526,-2.2851002692012012,63.96981159907062,1.9540452032251378e-05,-63.96979205861858,-6.855300807603604,3.2067467254819348e-06,4.653967961684614e-08,30.5205,True,-63.96979205861859,False,False,True,6.513484010750459e-06,6.4134934509638695e-06,False
One-stage weighted objective,510,8.5,157.78637576376747,157.78637083425392,4.929513554088771e-06,0.25195554653845637,27.614798631464733,5.029504373087362e-06,-27.61479360196036,-0.3182627416520135,27.614798631464733,5.029504373087362e-06,-27.61479360196036,-0.3182627416520135,27.614798631464733,5.029504373087362e-06,-27.61479360196036,-0.3182627416520135,82.8443958943942,1.5088513119262087e-05,-82.84438080588109,-0.9547882249560405,2.4647567770443857e-06,3.1241693271851784e-08,23.3315,True,-82.84438080588107,False,False,True,5.029504373087362e-06,4.929513554088771e-06,False
One-stage weighted objective,540,9.0,172.4434812296132,172.44347705796145,4.171651758952067e-06,0.2892355163084265,32.51412532481245,4.271642705376502e-06,-32.51412105316974,-0.5539047073368525,32.51412532481245,4.271642705376502e-06,-32.51412105316974,-0.5539047073368525,32.51412532481245,4.271642705376502e-06,-32.51412105316974,-0.5539047073368525,97.54237597443733,1.2814928116129504e-05,-97.54236315950922,-1.6617141220105578,2.0858258794760333e-06,2.4191414654853772e-08,35.0474,True,-97.54236315950922,False,False,True,4.271642705376502e-06,4.171651758952067e-06,False
One-stage weighted objective,570,9.5,185.00628302110874,185.00627942190377,3.599204967031255e-06,0.33312957837751983,37.54564550047463,3.699195988962216e-06,-37.54564180127864,-5.441920324922957,37.54564550047463,3.699195988962216e-06,-37.54564180127864,-5.441920324922957,37.54564550047463,3.699195988962216e-06,-37.54564180127864,-5.441920324922957,112.63693650142388,1.1097587966886647e-05,-112.63692540383592,-16.32576097476887,1.7996024835156276e-06,1.9454501264806207e-08,39.471199999999996,True,-112.6369254038359,False,False,True,3.699195988962216e-06,3.599204967031255e-06,False
One-stage weighted objective,600,10.0,119.41607162306806,119.41606328603365,8.337034421856516e-06,0.3838161936378339,16.461823059580613,8.437024593229897e-06,-16.46181462255602,-7.148131619283448,16.461823059580613,8.437024593229897e-06,-16.46181462255602,-7.148131619283448,16.461823059580613,8.437024593229897e-06,-16.46181462255602,-7.148131619283448,49.38546917874184,2.5311073779689693e-05,-49.38544386766806,-21.44439485785034,4.168517210928258e-06,6.981501156872773e-08,39.494699999999995,True,-49.385443867668066,False,False,True,8.437024593229897e-06,8.337034421856516e-06,False
One-stage weighted objective,630,10.5,229.74574207171457,229.7457394786857,2.593028882984072e-06,0.4060396407065601,51.57355828798489,2.6930200973732364e-06,-51.57355559496479,0.44355145000557855,51.57355828798489,2.6930200973732364e-06,-51.57355559496479,0.44355145000557855,51.57355828798489,2.6930200973732364e-06,-51.57355559496479,0.44355145000557855,154.72067486395466,8.07906029211971e-06,-154.72066678489435,1.3306543500167356,1.296514441492036e-06,1.1286515517552723e-08,42.915699999999994,True,-154.72066678489438,False,False,True,2.6930200973732364e-06,2.593028882984072e-06,False
