Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
660,11.0,central,235990.30875364214,235990.30627508156,1.6535891797798772e-07,0.002478560578310862,235990.30875364214,235990.30627508156,1.6535891797798772e-07,0.002478560578310862
690,11.5,central,232588.44417352724,232588.4416340147,-2.3004495774334833e-07,0.0025395125267095864,232588.44417352724,232588.4416340147,-2.3004495774334833e-07,0.0025395125267095864
720,12.0,central,137662.54700039705,137662.5404312531,2.0860247157213282e-07,0.006569143966771662,137662.54700039705,137662.5404312531,2.0860247157213282e-07,0.006569143966771662
750,12.5,central,86507.1933071255,86507.15907256314,-9.021496087956712e-08,0.034234562364872545,86507.1933071255,86507.15907256314,-9.021496087956712e-08,0.034234562364872545
780,13.0,central,63436.07803724001,63436.078137233984,1.6314277439275067e-08,0.0,63436.07803724001,63436.078137233984,1.6314277439275067e-08,0.0
810,13.5,central,220843.12489531777,220843.12222098053,-3.799154222559867e-08,0.0026743372436612844,220843.12489531777,220843.12222098053,-3.799154222559867e-08,0.0026743372436612844
840,14.0,central,219014.5041579911,219014.50141442433,1.2742249634699945e-08,0.0027435667579993606,219014.5041579911,219014.50141442433,1.2742249634699945e-08,0.0027435667579993606
870,14.5,central,209104.784648659,209104.78177975927,7.742965800169163e-08,0.0028688997263088822,209104.784648659,209104.78177975927,7.742965800169163e-08,0.0028688997263088822
900,15.0,central,169589.67598894524,169589.67168537667,-2.0148737031913938e-07,0.00430356856668368,169589.67598894524,169589.67168537667,-2.0148737031913938e-07,0.00430356856668368
930,15.5,central,108386.17806758464,108386.16561606363,1.601507476415342e-07,0.012451521004550159,108386.17806758464,108386.16561606363,1.601507476415342e-07,0.012451521004550159
960,16.0,central,167971.81180257935,167971.80758957987,-9.581477874125847e-09,0.0042129994835704565,167971.81180257935,167971.80758957987,-9.581477874125847e-09,0.0042129994835704565
990,16.5,central,124580.44620067778,124580.4380650856,-8.396750560332434e-08,0.008135592172038741,124580.44620067778,124580.4380650856,-8.396750560332434e-08,0.008135592172038741
1020,17.0,central,58867.659044205095,33557.84974851231,-1.7213198907319244e-07,25309.809295692787,58867.659044205095,33557.84974851231,-1.7213198907319244e-07,25309.809295692787
1050,17.5,central,21386.15526279812,-9.643867340327814e-09,-4.785469394145772e-09,21386.155262807762,21386.15526279812,-9.643867340327814e-09,-4.785469394145772e-09,21386.155262807762
1080,18.0,central,35726.29562474032,9971.327071247615,-1.7129570153351845e-08,25754.968553492705,35726.29562474032,9971.327071247615,-1.7129570153351845e-08,25754.968553492705
1110,18.5,central,34880.48921037201,891.1415949674671,-1.9932112643321386e-07,33989.34761540454,34880.48921037201,891.1415949674671,-1.9932112643321386e-07,33989.34761540454
1140,19.0,central,14676.355200650205,-9.643864799152739e-09,-1.0993139041544199e-10,14676.35520065985,14676.355200650205,-9.643864799152739e-09,-1.0993139041544199e-10,14676.35520065985
1170,19.5,central,6556.644238336597,-9.643864442784375e-09,1.1422861509852247e-07,6556.644238346241,6556.644238336597,-9.643864442784375e-09,1.1422861509852247e-07,6556.644238346241
1200,20.0,central,1478.7101336823926,-9.643865463659979e-09,2.0763287741054593e-07,1478.7101336920364,1478.7101336823926,-9.643865463659979e-09,2.0763287741054593e-07,1478.7101336920364
1230,20.5,central,513.8621598622417,-9.643866771096222e-09,1.6421997052453984e-07,513.8621598718855,513.8621598622417,-9.643866771096222e-09,1.6421997052453984e-07,513.8621598718855
1260,21.0,central,0.0,-3.044254699699671e-16,-4.143336863340495e-08,3.044254699699671e-16,0.0,-3.044254699699671e-16,-4.143336863340495e-08,3.044254699699671e-16
1290,21.5,central,0.0,-3.0044969303448e-16,4.656342319492525e-08,3.0044969303448e-16,0.0,-3.0044969303448e-16,4.656342319492525e-08,3.0044969303448e-16
1320,22.0,central,0.0,-3.052488429420044e-16,-2.8972493462488583e-07,3.052488429420044e-16,0.0,-3.052488429420044e-16,-2.8972493462488583e-07,3.052488429420044e-16
1350,22.5,central,0.0,-3.082480251397318e-16,1.1933434757434937e-07,3.082480251397318e-16,0.0,-3.082480251397318e-16,1.1933434757434937e-07,3.082480251397318e-16
1380,23.0,central,0.0,-2.9983374624902265e-16,-1.2870240580976633e-07,2.9983374624902265e-16,0.0,-2.9983374624902265e-16,-1.2870240580976633e-07,2.9983374624902265e-16
1410,23.5,central,0.0,-3.0263776735991046e-16,-1.2767027384646174e-07,3.0263776735991046e-16,0.0,-3.0263776735991046e-16,-1.2767027384646174e-07,3.0263776735991046e-16
1440,24.0,central,0.0,-3.03367785556396e-16,2.785443638185312e-08,3.03367785556396e-16,0.0,-3.03367785556396e-16,2.785443638185312e-08,3.03367785556396e-16
