Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
930,15.5,central,108386.17806758464,108386.17814027918,8.631252786792608e-05,-10567.623712779494,-11059.632009497047,-10995.50402968162,-32622.75975195816,25561.102333980234,25069.094037262683,25133.222017078107,75763.41838832102,0.8742060545561608
960,16.0,central,167971.81180257935,167971.8118700993,4.821638214866754e-05,-28485.22143132356,-31324.845143485476,-30862.61323016379,-90672.67980497284,27505.38252537621,24665.758813214296,25127.99072653598,77299.13206512647,0.888886296438901
990,16.5,central,124580.44620067778,124580.44627201108,5.0281132464651066e-05,-11283.949571639989,-16377.440059018829,-16485.609263081427,-44146.998893740245,30242.8658523637,25149.37536498486,25041.206160922262,80433.44737827082,0.9296890023437822
1020,17.0,central,58867.659044205095,51399.20073482498,-2.3535679014674224e-05,7468.458394492689,7468.458394493134,7468.458394492956,22405.375183478776,24601.525306101015,24601.52530610146,24601.525306101285,73804.57591830376,0.9495551518398302
1050,17.5,central,21386.15526279812,1495.1499824030097,-6.721301801962225e-07,19891.005363948825,19891.005363949065,19891.005363949254,59673.016091847145,20389.388691416494,20389.388691416734,20389.388691416923,61168.166074250155,0.9371077211796076
1080,18.0,central,35726.29562474032,19027.63589229633,-2.8922369899109944e-06,16698.659816404834,16698.65981640571,16698.65981640524,50095.97944921578,23041.205113836942,23041.20511383782,23041.20511383735,69123.61534151211,0.9039560455697978
1110,18.5,central,34880.48921037201,16175.182969561944,-2.3427577174962356e-05,18705.306324514284,18705.306324514393,18705.3063245148,56115.91897354348,24097.033981034932,24097.03398103504,24097.03398103545,72291.10194310542,0.87612494587269
1140,19.0,central,14676.355200650205,36.821852533032306,1.774923419686406e-06,14639.533432339327,14639.533432339302,14639.533432339284,43918.60029701791,14651.807383183672,14651.807383183646,14651.807383183628,43955.42214955094,0.8449494353286521
1170,19.5,central,6556.644238336597,44.05514782288972,2.690714498466024e-07,6512.589141310739,6512.589141310792,6512.589141310727,19537.76742393226,6527.274190585036,6527.274190585089,6527.274190585024,19581.822571755147,0.8205502129384035
1200,20.0,central,1478.7101336823926,38.59673881904402,1.2085293253628781e-07,1440.1133955141197,1440.1133955140895,1440.113395514086,4320.340186542295,1452.9789751204678,1452.9789751204376,1452.9789751204341,4358.936925361339,0.8096958977001885
1230,20.5,central,513.8621598622417,32.44337722604555,1.5684269545285717e-07,481.4187737585243,481.4187737584747,481.4187737585088,1444.2563212755076,492.2332328338728,492.2332328338232,492.2332328338573,1476.6996985015533,0.8072957087051683
1260,21.0,central,0.0,1.1382306177017267e-12,1.515870045939267e-06,25373.859360768394,25083.20108456413,25060.364311699246,75517.42475703177,25373.859360768394,25083.20108456413,25060.364311699246,75517.42475703177,0.8064933440797789
1290,21.5,central,0.0,1.138230617332147e-12,6.39565288277702e-05,25426.74022806484,24772.71793590423,25147.23035594013,75346.6885199092,25426.74022806484,24772.71793590423,25147.23035594013,75346.6885199092,0.7645392174824548
1320,22.0,central,0.0,1.1382306225730315e-12,2.6058663096067882e-05,30588.09313712763,24976.458484477167,25022.46781856155,80587.01944016635,30588.09313712763,24976.458484477167,25022.46781856155,80587.01944016635,0.7226799443460978
1350,22.5,central,0.0,1.1382306180327048e-12,4.13342831576298e-05,25621.173859436916,24995.437767439646,25066.829728745746,75683.44135562232,25621.173859436916,24995.437767439646,25066.829728745746,75683.44135562232,0.6779093763539498
1380,23.0,central,0.0,1.13823062490941e-12,-2.934284180839547e-05,25466.100605822707,24789.660208190064,25119.519708510143,75375.28052252291,25466.100605822707,24789.660208190064,25119.519708510143,75375.28052252291,0.6358630183166457
1410,23.5,central,0.0,1.1382306197367193e-12,-4.8492651527171646e-05,25456.708431809413,25149.0556334816,25013.0989913117,75618.86305660271,25456.708431809413,25149.0556334816,25013.0989913117,75618.86305660271,0.5939878607350455
1440,24.0,central,0.0,1.1382306172335076e-12,5.4107861461619774e-05,25471.79763964252,25109.033656366104,24978.43074620165,75559.26204221026,25471.79763964252,25109.033656366104,24978.43074620165,75559.26204221026,0.5519773795291562
