Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,720,12.0,137.66254700039707,137.6625470697323,0.0,0.6094694480150912,20.727647223504214,2.1459852361739308e-08,-20.727647202044363,0.4468535123141972,20.82757482500565,2.146605285911204e-08,-20.827574803539598,0.4445328954392722,20.815221352775666,2.146531478234968e-08,-20.81522133131035,0.4482641501047493,62.370443401285534,6.439122000320103e-08,-62.370443336894304,1.3396505578582187,0.0,0.0
One-stage weighted objective,750,12.5,86.5071933071255,86.5071933822667,0.0,0.6375361475098967,3.8893126347372164,1.519932313909705e-08,-3.8893126195378933,0.6811621549305427,3.730131138415614,1.5178474956622938e-08,-3.7301311232371397,-1.4832602791027902,3.695679465724636,1.5173937904447303e-08,-3.6956794505506982,0.6848455362377421,11.315123238877465,4.555173600016729e-08,-11.315123193325732,-0.11725258793450541,0.0,0.0
One-stage weighted objective,780,13.0,63.43607803724001,63.43607811479044,0.0,0.6426279529420851,1.976948427585552e-08,1.5557557912265298e-08,-4.211926363590225e-09,-11.63455357790573,1.9769454807881237e-08,1.555756020839603e-08,-4.211894599485207e-09,-11.928697895017166,1.976875341816312e-08,1.5557627488985605e-08,-4.211125929177517e-09,-12.700341042813871,5.930769250189988e-08,4.667274560964693e-08,-1.2634946892252949e-08,-36.26359251573677,0.0,0.0
One-stage weighted objective,810,13.5,220.84312489531777,220.84312497017297,0.0,0.6426279529428442,48.574532761485095,1.539995339209366e-08,-48.57453274608515,2.9641886070332046,48.9861804776428,1.527733785711458e-08,-48.98618046236546,-1.8427945321765624,48.53501162191338,1.5411983069740362e-08,-48.53501160650139,-1.8752986541892005,146.09572486104128,4.6089274318948607e-08,-146.095724814952,-0.7539045793325582,0.0,0.0
One-stage weighted objective,840,14.0,219.0145041579911,219.01450423201962,0.0,0.7083710291047076,44.75012972907807,1.6977754182286767e-08,-44.75012971210032,2.1058056413176263,48.12591770404932,1.5843494675006988e-08,-48.12591768820583,-0.9576076732272141,47.85929967528865,1.592300963392158e-08,-47.85929965936564,-0.4396334283331391,140.73534710841602,4.8744258491215336e-08,-140.7353470596718,0.7085645397572732,0.0,0.0
One-stage weighted objective,870,14.5,209.104784648659,209.10478472145607,0.0,0.7717019352764147,43.95700184709053,1.7715449605287856e-08,-43.95700182937508,3.4979292682678405,44.78786775552367,1.7418435400693962e-08,-44.787867738105234,-2.435250933960882,44.69108289516321,1.7452477041713474e-08,-44.69108287771074,-2.6392235937862307,133.4359524977774,5.258636204769529e-08,-133.43595244519105,-1.576545259479272,0.0,0.0
One-stage weighted objective,900,15.0,169.58967598894523,169.58967605649795,0.0,0.8317481138712,31.401481653280506,2.3184111874410763e-08,-31.401481630096395,0.4204932191647227,31.545073726750307,2.31373896253783e-08,-31.545073703612918,0.44499570073851474,31.404424005690654,2.3183212157835866e-08,-31.40442398250744,0.4480824840119223,94.35097938572147,6.950471365762494e-08,-94.35097931621675,1.3135714039151598,0.0,0.0
One-stage weighted objective,930,15.5,108.38617806758464,108.38617814027918,0.0,0.8742060545561608,10.567623730507842,1.772834810099985e-08,-10.567623712779493,0.9742275120684597,11.05963202736272,1.786567445984108e-08,-11.059632009497047,0.4392024668089614,10.995504047528632,1.7847011246473973e-08,-10.995504029681621,0.4537323739318633,32.62275980539919,5.3441033807314906e-08,-32.622759751958164,1.8671623528092844,0.0,0.0
One-stage weighted objective,960,16.0,167.97181180257934,167.97181187009932,0.0,0.888886296438901,28.485221455043714,2.3720153131640582e-08,-28.48522143132356,2.4247799730075226,31.324845166398852,2.2913374920829358e-08,-31.324845143485476,-1.437583970364368,30.86261325322432,2.306052763045342e-08,-30.86261323016379,-1.0369641126050053,90.67267987466688,6.969405568292336e-08,-90.67267980497284,-0.04976810996185077,0.0,0.0
One-stage weighted objective,990,16.5,124.58044620067777,124.58044627201107,0.0,0.9296890023437822,11.28394959013175,1.8491760933172926e-08,-11.283949571639988,0.7106403076899481,16.377440078821017,1.9802187603627562e-08,-16.377440059018827,0.011382547610429965,16.48560928290963,1.982819817644192e-08,-16.48560926308143,0.9091040272422862,44.14699895186239,5.812214671324241e-08,-44.146998893740246,1.6311268825426641,0.0,0.0
