Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,330,5.5,16.21467298000961,16.214673076186532,0.0,0.1895927961159163,3.2662294629968947e-09,3.178990680747875e-09,-8.723878224902012e-11,-22.733707446937686,3.2662294629968947e-09,3.178990680747875e-09,-8.723878224902012e-11,-22.733707446937686,3.2662294629968947e-09,3.178990680747875e-09,-8.723878224902012e-11,-22.733707446937686,9.798688388990685e-09,9.536972042243623e-09,-2.6171634674706036e-10,-68.20112234081306,0.0,0.0,11.388,True,-2.6171634674706166e-10,False
One-stage weighted objective,360,6.0,32.04062632992235,32.040626426099266,0.0,0.18959279611502738,3.2662292842427073e-09,3.178990501986301e-09,-8.723878225640625e-11,-21.28040910924738,3.2662292842427073e-09,3.178990501986301e-09,-8.723878225640625e-11,-21.28040910924738,3.2662292842427073e-09,3.178990501986301e-09,-8.723878225640625e-11,-21.28040910924738,9.798687852728122e-09,9.536971505958904e-09,-2.6171634676921877e-10,-63.84122732774213,0.0,0.0,11.461,True,-2.617163467692185e-10,False
One-stage weighted objective,390,6.5,67.54117105030791,67.54117114648484,0.0,0.18959279611414254,3.2662298587563426e-09,3.1789910817913174e-09,-8.723877696502532e-11,-10.414911572356507,3.2662298587563426e-09,3.1789910817913174e-09,-8.723877696502532e-11,-10.414911572356507,3.2662298587563426e-09,3.1789910817913174e-09,-8.723877696502532e-11,-10.414911572356507,9.798689576269028e-09,9.536973245373951e-09,-2.6171633089507595e-10,-31.24473471706952,0.0,0.0,12.3234,True,-2.617163308950766e-10,False
One-stage weighted objective,420,7.0,81.2359820112237,81.23593009921937,5.1912004317273386e-05,0.18959279611325364,2.6704060582565297,5.2008793219553484e-05,-2.6703540494633105,-5.492574284492829,2.6704060582565297,5.2008793219553484e-05,-2.6703540494633105,-5.492574284492829,2.6704060582565297,5.2008793219553484e-05,-2.6703540494633105,-5.492574284492829,8.01121817476959,0.00015602637965866044,-8.01106214838993,-16.47772285347849,2.5956002158636693e-05,6.390272270002367e-07,13.8002,True,-8.011062148389932,False
One-stage weighted objective,450,7.5,139.78309169335256,139.78308553590375,6.1574488063342866e-06,0.19319775761058058,22.201033323575235,6.254319620143897e-06,-22.201027069255613,-4.713565073046899,22.201033323575235,6.254319620143897e-06,-22.201027069255613,-4.713565073046899,22.201033323575235,6.254319620143897e-06,-22.201027069255613,-4.713565073046899,66.6030999707257,1.8762958860431695e-05,-66.60308120776683,-14.140695219140696,3.0787244031671433e-06,4.405002587753685e-08,17.562099999999997,True,-66.60308120776683,False
One-stage weighted objective,480,8.0,137.80699617541745,137.8069897604355,6.414981937268749e-06,0.2231691421735411,21.323270531439874,6.5118467106944996e-06,-21.323264019593164,-2.2851002710180883,21.323270531439874,6.5118467106944996e-06,-21.323264019593164,-2.2851002710180883,21.323270531439874,6.5118467106944996e-06,-21.323264019593164,-2.2851002710180883,63.969811594319616,1.95355401320835e-05,-63.9697920587795,-6.8553008130542645,3.2074909686343744e-06,4.6550480855870205e-08,30.5205,True,-63.96979205877948,False
One-stage weighted objective,510,8.5,157.78637576376747,157.7863708328349,4.93093254044652e-06,0.25195554653791824,27.614798629625554,5.0278401985835395e-06,-27.614793601785358,-0.31826274918862896,27.614798629625554,5.0278401985835395e-06,-27.614793601785358,-0.31826274918862896,27.614798629625554,5.0278401985835395e-06,-27.614793601785358,-0.31826274918862896,82.84439588887666,1.5083520595750619e-05,-82.84438080535608,-0.9547882475658869,2.46546627022326e-06,3.1250686357286947e-08,23.3315,True,-82.84438080535607,False
One-stage weighted objective,540,9.0,172.4434812296132,172.44347705659666,4.173016553977505e-06,0.28923551630817906,32.51412532284842,4.269949670550008e-06,-32.51412105289875,-0.5539047146825481,32.51412532284842,4.269949670550008e-06,-32.51412105289875,-0.5539047146825481,32.51412532284842,4.269949670550008e-06,-32.51412105289875,-0.5539047146825481,97.54237596854527,1.2809849011650023e-05,-97.54236315869626,-1.6617141440476442,2.0865082769887524e-06,2.4199329103203496e-08,35.0474,True,-97.54236315869626,False
One-stage weighted objective,570,9.5,185.00628302110874,185.00627942058583,3.600522904889658e-06,0.3331295783774682,37.54564549859033,3.6974669780742632e-06,-37.54564180112335,-5.441920326044548,37.54564549859033,3.6974669780742632e-06,-37.54564180112335,-5.441920326044548,37.54564549859033,3.6974669780742632e-06,-37.54564180112335,-5.441920326044548,112.636936495771,1.1092400934222788e-05,-112.63692540337006,-16.325760978133644,1.800261452444829e-06,1.9461625011291358e-08,39.471199999999996,True,-112.63692540337006,False
One-stage weighted objective,600,10.0,119.41607162306806,119.41606328449987,8.338568193721584e-06,0.3838161936381202,16.461823057356273,8.435402382002623e-06,-16.46181462195389,-7.148131615945974,16.461823057356273,8.435402382002623e-06,-16.46181462195389,-7.148131615945974,16.461823057356273,8.435402382002623e-06,-16.46181462195389,-7.148131615945974,49.38546917206882,2.5306207146007868e-05,-49.385443865861674,-21.44439484783792,4.169284096860792e-06,6.982785550040478e-08,39.494699999999995,True,-49.38544386586167,False
