Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
990,16.5,16864.478724435186,16864.478724435186,16864.478724435186,0.008233959027936454,0.008233959027936454,0.008233959027936454,-16864.47049047616,-16864.47049047616,-16864.47049047616,-50593.41147142848,-4322.799140405107,-4322.799140405107,-4322.799140405107,-12968.397421215323,0.9506582313619794
1020,17.0,0.011593848767229084,0.011593848767229084,0.011593848767229084,11978.425007622101,11978.425007622101,11978.425007622101,11978.413413773334,11978.413413773334,11978.413413773334,35935.24024132,440.7917012886023,440.7917012886023,440.7917012886023,1322.375103865807,0.9734252639167018
1050,17.5,2.4103116200787154e-07,2.4103116200787154e-07,2.4103116200787154e-07,21386.1553625032,21386.1553625032,21386.1553625032,21386.15536226217,21386.15536226217,21386.15536226217,64158.4660867865,-11362.735927448342,-11362.735927448342,-11362.735927448342,-34088.20778234502,0.953461237889026
1080,18.0,0.006063372657514824,0.006063372657514824,0.006063372657514824,22902.1555143779,22902.1555143779,22902.1555143779,22902.149451005243,22902.149451005243,22902.149451005243,68706.44835301573,-5187.797030505568,-5187.797030505568,-5187.797030505568,-15563.391091516703,0.9178176456185126
1110,18.5,0.005791537335075453,0.005791537335075453,0.005791537335075453,23976.90659821803,23976.90659821803,23976.90659821803,23976.900806680693,23976.900806680693,23976.900806680693,71930.70242004207,442.5176308786747,442.5176308786747,442.5176308786747,1327.5528926360241,0.8796473946134397
1140,19.0,2.409987420216262e-07,2.409987420216262e-07,2.409987420216262e-07,14676.355300355284,14676.355300355284,14676.355300355284,14676.355300114286,14676.355300114286,14676.355300114286,44029.06590034286,-18914.104677856092,-18914.104677856092,-18914.104677856092,-56742.31403356828,0.839685891434985
1170,19.5,2.4095338470136466e-07,2.4095338470136466e-07,2.4095338470136466e-07,6556.644303608118,6556.644303608118,6556.644303608118,6556.644303367165,6556.644303367165,6556.644303367165,19669.932910101496,-22381.433631162145,-22381.433631162145,-22381.433631162145,-67144.30089348643,0.8152252992680434
1200,20.0,2.409191042988251e-07,2.409191042988251e-07,2.409191042988251e-07,1478.7101481745733,1478.7101481745733,1478.7101481745733,1478.7101479336543,1478.7101479336543,1478.7101479336543,4436.130443800963,-22481.695366876793,-22481.695366876793,-22481.695366876793,-67445.08610063037,0.8042975587623552
1230,20.5,2.4091151050294204e-07,2.4091151050294204e-07,2.4091151050294204e-07,513.8621647059429,513.8621647059429,513.8621647059429,513.8621644650314,513.8621644650314,513.8621644650314,1541.586493395094,-22693.988325815753,-22693.988325815753,-22693.988325815753,-68081.96497744726,0.8018330418490522
1260,21.0,0.005540144435362475,0.005540144435362475,0.005540144435362475,25064.68648573192,25064.68648573192,25064.68648573192,25064.680945587483,25064.680945587483,25064.680945587483,75194.04283676244,445.4781195471435,445.4781195471435,445.4781195471435,1336.4343586414304,0.800976604908201
1290,21.5,0.005605483487398831,0.005605483487398831,0.005605483487398831,24772.581479556527,24772.581479556527,24772.581479556527,24772.57587407304,24772.57587407304,24772.57587407304,74317.72762221913,74.11289509325309,74.11289509325309,74.11289509325309,222.33868527975926,0.7592021349111702
1320,22.0,0.005536705534607722,0.005536705534607722,0.005536705534607722,25080.251392794875,25080.251392794875,25080.251392794875,25080.24585608934,25080.24585608934,25080.24585608934,75240.73756826801,452.2222203594296,452.2222203594296,452.2222203594296,1356.6666610782888,0.717914506679312
1350,22.5,0.005554257445738165,0.005554257445738165,0.005554257445738165,25001.01101379483,25001.01101379483,25001.01101379483,25001.005459537384,25001.005459537384,25001.005459537384,75003.01637861216,445.6240540243452,445.6240540243452,445.6240540243452,1336.8721620730355,0.6761140951659707
1380,23.0,0.005619069965921222,0.005619069965921222,0.005619069965921222,24712.69470947223,24712.69470947223,24712.69470947223,24712.689090402266,24712.689090402266,24712.689090402266,74138.06727120679,-1217.125732541059,-1217.125732541059,-1217.125732541059,-3651.3771976231774,0.6344457509745601
1410,23.5,0.00556158610371856,0.00556158610371856,0.00556158610371856,24968.072832478796,24968.072832478796,24968.072832478796,24968.067270892694,24968.067270892694,24968.067270892694,74904.20181267807,-1155.2633093147283,-1155.2633093147283,-1155.2633093147283,-3465.789927944185,0.5932579340445053
1440,24.0,0.005557441325630781,0.005557441325630781,0.005557441325630781,24986.690600704333,24986.690600704333,24986.690600704333,24986.685043263005,24986.685043263005,24986.685043263005,74960.05512978902,443.0862748650887,443.0862748650887,443.0862748650887,1329.258824595266,0.5516444868318485
