Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
540,9.0,central,172443.48122961321,172443.48132957745,7.730592135962972e-08,-32313.21325160053,-32497.29846227784,-32453.501682421072,-97264.01339629944,25167.947191591957,24983.861980914648,25027.658760771414,75179.467933278,0.2830596435514723
570,9.5,central,185006.28302110874,185006.28312107295,-6.599721190410013e-08,-36533.00429481944,-36899.23736035174,-36693.184490811866,-110125.42614598304,25135.75674553821,24769.523680005906,24975.57654954578,74880.8569750899,0.326828449579803
600,10.0,central,119416.07162306807,119416.07172303241,-9.749046976530228e-09,-14958.645556705262,-14785.052963566977,-15081.972682989654,-44825.671203261896,24846.71168430554,25020.304277443825,24723.38455802115,74590.40051977051,0.37638489134549
630,10.5,central,229745.74207171457,229745.74217167875,9.444153203705662e-08,-51220.6124791669,-51538.80754730624,-51593.881986361004,-154353.30201283414,25361.301578059356,25043.106509920013,24988.03207086525,75392.4401588446,0.39655644338695356
660,11.0,central,235990.30875364214,235990.30885360632,2.7540246566773967e-07,-53789.07817577031,-53863.6198090325,-53516.62218115359,-161169.3201659564,24874.358108765126,24799.816475502936,25146.814103381847,74820.98868764992,0.4660154292927235
690,11.5,central,232588.44417352724,232588.44427349142,2.7249864674896e-07,-52386.10837478984,-52626.113464837515,-52431.455944845125,-157443.67778447247,25143.373049707297,24903.36795965962,25098.02547965201,75144.76648901895,0.5385416233673973
720,12.0,central,137662.54700039705,137662.54710036135,2.575388034906285e-07,-20727.64706992552,-20827.574832764654,-20815.221441756134,-62370.44334444631,25159.86863019493,25059.940867355795,25072.294258364316,75292.10375591504,0.6093912783704045
750,12.5,central,86507.1933071255,86507.19340708993,-3.752683526726712e-07,-3889.312586398003,-3730.1310672779923,-3695.67952593784,-11315.123179613835,24946.41854929864,25105.60006841865,25140.0516097588,75192.0702274761,0.6374579778754005
780,13.0,central,63436.07803724001,63436.07813720576,-6.312312316537884e-10,-4.63419453581179e-09,-4.636520326626753e-09,-4.63394405016936e-09,-1.3904658912607903e-08,21145.359379063953,21145.359379063953,21145.359379063953,63436.07813719186,0.6425497833062214
810,13.5,central,220843.12489531777,220843.12499528195,1.870124403461776e-07,-48574.53255883686,-48986.18065269119,-48535.011597716235,-146095.72480924428,25039.84243959046,24628.194345736127,25079.36340071108,74747.40018603767,0.6425497833062213
840,14.0,central,219014.5041579911,219014.50425795527,-3.373835199895771e-08,-44750.12972708025,-48125.917724064515,-47859.29960374801,-140735.34705489277,28254.705025571508,24878.917028587246,25145.53514890375,78279.1572030625,0.7082928594703758
870,14.5,central,209104.784648659,209104.7847486232,-8.944038971737446e-08,-43957.00166591288,-44787.868284112665,-44691.082491720095,-133435.95244174564,25744.59325029485,24913.726632095066,25010.512424487635,75668.83230687756,0.7716237656450733
900,15.0,central,169589.67598894524,169589.67608890947,2.3761837570701873e-07,-31401.481628251142,-31545.07373233229,-31404.42396496473,-94350.97932554816,25128.410401385347,24984.8182973042,25125.468064671757,75238.69676336131,0.8316699442438534
930,15.5,central,108386.17806758464,108386.178167549,2.2979955652058855e-07,-10567.623713899362,-11059.632011235788,-10995.504031072733,-32622.75975620788,25561.10234195031,25069.094044613885,25133.222024776936,75763.41841134112,0.8741278849403441
960,16.0,central,167971.81180257935,167971.8119025436,-3.095446557578726e-08,-28485.22142376385,-31324.84519057513,-30862.613192263598,-90672.67980660258,27505.38254375068,24665.758776939398,25127.99077525093,77299.13209594101,0.8888081268306323
990,16.5,central,124580.44620067778,124580.4463006421,2.5819204750422513e-07,-11283.949600803018,-16377.440032075161,-16485.609258693537,-44146.99889157171,30242.865832744348,25149.375401472207,25041.20617485383,80433.44740907039,0.9296108327435979
1020,17.0,central,58867.659044205095,51391.50825077974,2.1915359169260344e-09,7476.150893409388,7476.150893409386,7476.150893409392,22428.452680228165,24606.653643669302,24606.653643669302,24606.653643669306,73819.96093100791,0.9494769822447998
1050,17.5,central,21386.15526279812,1617.1136703906327,-8.373337520692272e-09,19769.04169239152,19769.04169239152,19769.04169239152,59307.12507717457,20308.079582521732,20308.079582521732,20308.079582521732,60924.2387475652,0.937016730755783
1080,18.0,central,35726.29562474032,18823.255049077594,1.9599201045021234e-08,16903.040675646756,16903.040675646753,16903.04067564676,50709.12202694027,23177.45902533929,23177.459025339285,23177.459025339293,69532.37707601786,0.9040683279351291
1110,18.5,central,34880.48921037201,16374.251770728903,7.391832859303046e-08,18506.23753962714,18506.23753962714,18506.237539627138,55518.71261888142,23964.321463203443,23964.321463203443,23964.32146320344,71892.96438961032,0.8758965934757165
1140,19.0,central,14676.355200650205,10.367224922889184,1.0955742928204273e-08,14665.988075711348,14665.988075711348,14665.988075711348,43997.96422713404,14669.44381735231,14669.44381735231,14669.44381735231,44008.33145205693,0.8450528642430032
1170,19.5,central,6556.644238336597,27.371110673151712,-3.898435871805818e-10,6529.273193213923,6529.273193213923,6529.273193213923,19587.81957964177,6538.39689677164,6538.39689677164,6538.39689677164,19615.190690314925,0.8206095507834837
1200,20.0,central,1478.7101336823926,27.938582148143887,9.408426747507778e-10,1450.7715663053873,1450.7715663053873,1450.7715663053873,4352.314698916161,1460.0844270214352,1460.0844270214352,1460.0844270214352,4380.253281064305,0.8097274287947924
1230,20.5,central,513.8621598622417,24.183019493977,6.32678753274387e-11,489.67914549092393,489.67914549092393,489.6791454909239,1469.0374364727718,497.74015198891624,497.74015198891624,497.7401519889162,1493.220455966749,0.8073094761842825
1260,21.0,central,0.0,6.71757320071205e-10,9.925931685766687e-08,25373.859307413797,25083.201136248965,25060.36433208043,75517.42477574319,25373.859307414023,25083.20113624919,25060.364332080655,75517.42477574386,0.8064933442751295
1290,21.5,central,0.0,6.717719736558002e-10,6.000355463623837e-07,25426.74028315242,24772.717910972555,25147.230350784434,75346.68854490941,25426.740283152645,24772.71791097278,25147.23035078466,75346.68854491008,0.7645392176524746
1320,22.0,central,0.0,6.71776677322748e-10,5.442095326438264e-08,30588.09348301111,24976.458429084396,25022.4675467326,80587.01945882812,30588.093483011337,24976.45842908462,25022.467546732827,80587.01945882878,0.7226799444872917
1350,22.5,central,0.0,6.717651016748842e-10,1.0495461788542246e-08,25621.17393757521,24995.4377158052,25066.829720944657,75683.44137432508,25621.173937575437,24995.437715805427,25066.829720944883,75683.44137432575,0.6779093764691472
1380,23.0,central,0.0,6.717751454980931e-10,-1.2508511646759489e-07,25466.1005903221,24789.660207956327,25119.519755477108,75375.28055375553,25466.100590322327,24789.660207956553,25119.519755477333,75375.2805537562,0.6358630184065122
1410,23.5,central,0.0,6.717622379107769e-10,9.666377170143925e-08,25456.708498898854,25149.05564525208,25013.098937406972,75618.86308155791,25456.70849889908,25149.055645252305,25013.098937407198,75618.86308155858,0.5939878607926244
1440,24.0,central,0.0,6.717622422461181e-10,1.6694760356523105e-07,25471.797680705415,25109.033761398943,24978.430618780178,75559.26206088453,25471.79768070564,25109.03376139917,24978.430618780403,75559.2620608852,0.5519773795579336
