Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,330,5.5,16.21467298000961,16.21467307997554,0.0,0.18697701652054588,2.5650820102221873e-11,2.0996016819558524e-11,-4.6548032826633495e-12,-22.67832456526764,2.565082110291009e-11,2.0995756598247354e-11,-4.655064504662738e-12,-22.932883411321217,2.5650820613423198e-11,2.0995817312844374e-11,-4.655003300578821e-12,-22.78586081328032,7.695246181855516e-11,6.298759073065025e-11,-1.3964871087904909e-11,-68.39706878986918,0.0,0.0,11.388,True,-1.3964871087904907e-11,False
One-stage weighted objective,360,6.0,32.04062632992235,32.0406264298882,0.0,0.1869770165205455,2.5702197268300068e-11,2.1057244406044156e-11,-4.6449528622559134e-12,-21.62913977998514,2.5702192553939254e-11,2.105555086224244e-11,-4.646641691696816e-12,-20.897771129499258,2.57021906419411e-11,2.1055294183204208e-11,-4.646896458736893e-12,-21.279081306095588,7.710658046418042e-11,6.31680894514908e-11,-1.3938491012689622e-11,-63.805992215579984,0.0,0.0,11.461,True,-1.3938491012689617e-11,False
One-stage weighted objective,390,6.5,67.54117105030791,67.54117115027366,0.0,0.18697701652054508,2.5777282342011255e-11,2.1139222767451e-11,-4.6380595745602565e-12,-10.395322284315537,2.57773065033618e-11,2.1141118621084866e-11,-4.636187882276935e-12,-10.451021645985156,2.577729395993517e-11,2.1149325453631128e-11,-4.627968506304041e-12,-10.362947366377146,7.733188280530823e-11,6.342966684216699e-11,-1.3902215963141232e-11,-31.20929129667784,0.0,0.0,12.3234,True,-1.3902215963141244e-11,False
One-stage weighted objective,420,7.0,81.2359820112237,81.23598211117249,0.0,0.18697701652054463,4.0274961053160395e-12,4.185578418728924e-11,3.78282880819732e-11,2.693788516253596,1.9450665235454334,2.781476351298428e-11,-1.9450665235176186,-0.8908740734856235,1.9299496933701894,2.7809970079167755e-11,-1.9299496933423792,0.18315865410078136,3.8750162169196503,9.748051777944127e-11,-3.8750162168221696,1.9860730968687537,0.0,0.0,13.8002,True,-3.8750162168221696,False
One-stage weighted objective,450,7.5,139.78309169335256,139.78309179331686,0.0,0.18872077381810437,21.529675264561163,1.6984394928472348e-11,-21.529675264544178,-2.2831449153130143,21.507311119857548,1.698111069522086e-11,-21.507311119840566,1.7694612580209401,21.54651449715657,1.6981404852965773e-11,-21.546514497139587,-0.23829928747428733,64.58350088157528,5.094691047665898e-11,-64.58350088152433,-0.7519829447663616,0.0,0.0,17.562099999999997,True,-64.58350088152433,False
One-stage weighted objective,480,8.0,137.80699617541745,137.80699627538175,0.0,0.21778334921478493,20.694767740565858,1.698424814260169e-11,-20.694767740548873,-2.1116958440791564,20.802651470591243,1.6981914878031646e-11,-20.80265147057426,0.9070952769766989,21.09471733644448,1.697264879445888e-11,-21.094717336427507,0.682665045203155,62.59213654760158,5.0938811815092214e-11,-62.592136547550645,-0.5219355218993026,0.0,0.0,30.5205,True,-62.59213654755064,False
One-stage weighted objective,510,8.5,157.78637576376747,157.78637586373173,0.0,0.24594981066117746,27.427917275836553,1.7002646102931837e-11,-27.42791727581955,-0.2069016833333371,27.451050749361816,1.6993513563479543e-11,-27.451050749344823,0.4999652153447145,27.587327286630867,1.7001216374992573e-11,-27.587327286613863,0.5606136248538538,82.46629531182924,5.099737604140395e-11,-82.46629531177823,0.8536771568652313,0.0,0.0,23.3315,True,-82.46629531177824,False
One-stage weighted objective,540,9.0,172.4434812296132,172.44348132957745,0.0,0.2830596435514723,32.31321325161754,1.7008677211550857e-11,-32.31321325160053,0.1454343473937946,32.49729846229484,1.7008682377932285e-11,-32.49729846227784,0.8640565066378603,32.45350168243808,1.7010702873031324e-11,-32.45350168242107,0.06486166829820264,97.26401339635046,5.102806246251446e-11,-97.26401339629945,1.0743525223298576,0.0,0.0,35.0474,True,-97.26401339629943,False
One-stage weighted objective,570,9.5,185.00628302110874,185.00628312107295,0.0,0.326828449579803,36.53300429483645,1.701288381589977e-11,-36.53300429481944,-1.2822901352774294,36.899237360368744,1.7004205216668184e-11,-36.89923736035174,2.4470728209020045,36.693184490828884,1.702049150576169e-11,-36.693184490811866,-1.3903486773994091,110.12542614603409,5.103758053832964e-11,-110.12542614598304,-0.22556599177483416,0.0,0.0,39.471199999999996,True,-110.12542614598306,False
One-stage weighted objective,600,10.0,119.41607162306806,119.4160717230324,0.0,0.37638489134549,14.958645556722212,1.695123909131973e-11,-14.958645556705262,-4.011247443254933,14.785052963583928,1.695172748898579e-11,-14.785052963566978,2.5447171652049487,15.081972683006605,1.6950275144484333e-11,-15.081972682989653,-0.6257308402020055,44.82567120331275,5.085324172478985e-11,-44.8256712032619,-2.0922611182519897,0.0,0.0,39.494699999999995,True,-44.8256712032619,False
One-stage weighted objective,630,10.5,229.74574207171457,229.74574217167876,0.0,0.39655644338695356,51.22061247918392,1.7017151328831707e-11,-51.220612479166896,0.9698890816828356,51.53880754732325,1.7010337550596004e-11,-51.53880754730624,0.4419248873077679,51.59388198637802,1.701510835974301e-11,-51.593881986361005,0.4441551483130587,154.3533020128852,5.1042597239170723e-11,-154.35330201283415,1.855969117303662,0.0,0.0,42.915699999999994,True,-154.35330201283415,False
One-stage weighted objective,660,11.0,235.99030875364213,235.9903088536063,0.0,0.4660154292927235,53.789078175787324,1.7016813901284465e-11,-53.78907817577031,0.5618396183340163,53.8636198090495,1.700573858539375e-11,-53.8636198090325,0.325440649206716,53.516622181170604,1.7019285773923817e-11,-53.516622181153586,0.35910018356468476,161.16932016600745,5.104183826060203e-11,-161.1693201659564,1.246380451105417,0.0,0.0,50.0505,True,-161.1693201659564,False
One-stage weighted objective,690,11.5,232.58844417352725,232.58844427349143,0.0,0.5385416233673973,52.386108374806845,1.7010442535625924e-11,-52.386108374789835,0.4416976992731601,52.62611346485453,1.7010667720023376e-11,-52.626113464837516,0.4439389264521621,52.431455944862144,1.7019106848682824e-11,-52.431455944845126,0.4504138628705339,157.44367778452352,5.1040217104332124e-11,-157.44367778447247,1.336050488595856,0.0,0.0,32.4315,True,-157.44367778447247,False
One-stage weighted objective,720,12.0,137.66254700039707,137.66254710036134,0.0,0.6093912783704045,20.72764706994249,1.6971139180569717e-11,-20.727647069925517,0.4468568910344142,20.82757483278164,1.6984107772549745e-11,-20.827574832764654,0.44453231722588255,20.815221441773115,1.6982373058008644e-11,-20.815221441756133,0.4482680984077779,62.37044334449725,5.093762001112811e-11,-62.37044334444631,1.3396573066680746,0.0,0.0,23.403,True,-62.37044334444631,False
One-stage weighted objective,750,12.5,86.5071933071255,86.50719340708993,0.0,0.6374579778754005,3.889312586414898,1.6894763995545092e-11,-3.889312586398003,0.6811647220829928,3.7301310672948826,1.68903462945993e-11,-3.730131067277992,-1.4832594086504844,3.6956795259547306,1.6890835515987272e-11,-3.69567952593784,0.6848484752881989,11.315123179664512,5.067594580613167e-11,-11.315123179613835,-0.11724621127929265,0.0,0.0,25.086,True,-11.315123179613837,False
One-stage weighted objective,780,13.0,63.43607803724001,63.43607813720576,0.0,0.6425497833062214,2.577112364777649e-11,2.1136929111964698e-11,-4.63419453581179e-12,-11.6388024000233,2.5771124535415985e-11,2.113460420878923e-11,-4.636520326626753e-12,-11.932526963532629,2.5771142690203592e-11,2.1137198640034232e-11,-4.63394405016936e-12,-12.687651902601178,7.731339087339607e-11,6.340873196078816e-11,-1.3904658912607903e-11,-36.258981266157114,0.0,0.0,45.933,True,-1.3904658912607909e-11,False
One-stage weighted objective,810,13.5,220.84312489531777,220.84312499528195,0.0,0.6425497833062213,48.57453255885387,1.701472214855491e-11,-48.57453255883686,2.9641872504231466,48.9861806527082,1.7010652399870384e-11,-48.98618065269119,-1.8427960233628318,48.535011597733245,1.7014003413609346e-11,-48.535011597716235,-1.8752986020797304,146.09572480929532,5.103937796203464e-11,-146.09572480924427,-0.7539073750194158,0.0,0.0,36.0845,True,-146.09572480924427,False
One-stage weighted objective,840,14.0,219.0145041579911,219.01450425795528,0.0,0.7082928594703758,44.75012972709728,1.7025242801581465e-11,-44.75012972708026,2.1058077766332506,48.125917724081525,1.701076793304755e-11,-48.125917724064514,-0.9576077080585459,47.85929960376502,1.70013554638354e-11,-47.85929960374801,-0.43963042882196646,140.73534705494382,5.1037366198464414e-11,-140.73534705489277,0.7085696397527383,0.0,0.0,41.0365,True,-140.73534705489277,False
One-stage weighted objective,870,14.5,209.104784648659,209.10478474862322,0.0,0.7716237656450733,43.9570016659299,1.7020276691709205e-11,-43.957001665912884,3.4979296588452504,44.78786828412968,1.7008964656703497e-11,-44.78786828411266,-2.4352544614748255,44.69108249173711,1.701572928652911e-11,-44.691082491720096,-2.6392199728849794,133.4359524417967,5.1044970634941814e-11,-133.43595244174566,-1.5765447755145547,0.0,0.0,35.203,True,-133.43595244174566,False
One-stage weighted objective,900,15.0,169.58967598894523,169.58967608890947,0.0,0.8316699442438534,31.401481628268147,1.7004261252622236e-11,-31.40148162825114,0.42049449438228326,31.545073732349294,1.70023307374841e-11,-31.54507373233229,0.4449976538937689,31.404423964981746,1.7013090863148705e-11,-31.40442396496473,0.44808468851617556,94.35097932559918,5.101968285325504e-11,-94.35097932554817,1.3135768367922278,0.0,0.0,39.21,True,-94.35097932554817,False
